ID zákazníka,Loyalty Tier,Region,Věk,Délka vztahu (dny),Recency (dny),Počet obj. 2022–24,Útrata 2022–24,App Usage Score,Email Open Rate,Skutečný CLV 2025,Predikovaný CLV 2025,CLV Segment
ACC-00281,Bronze,CZ,18,1436,762,3,10669.06,47.4,0.01,0.0,0.0,Low
ACC-00282,Gold,SK,31,270,11,7,78647.3,98.4,0.87,59087.740000000005,59964.84,High
ACC-00283,Bronze,CZ,38,524,14,4,8543.23,56.4,0.56,6288.5,6736.8213,Medium
ACC-00284,Gold,CZ,21,758,136,8,39419.14,44.9,0.22,31239.35,28636.578,High
ACC-00285,Gold,SK,35,1402,495,11,37164.81,44.8,0.3,0.0,0.0,Low
ACC-00286,Gold,SK,40,1221,428,11,81071.96,50.1,0.59,0.0,0.0,Low
ACC-00287,Gold,CZ,48,468,292,2,5235.93,40.6,0.26,17334.879999999997,15099.538,Medium
ACC-00288,Silver,CZ,29,1134,84,9,42040.49,42.4,0.4,0.0,1113.0869,Low
ACC-00289,Bronze,CZ,40,232,188,1,2783.16,18.1,0.13,0.0,1184.4758,Low
ACC-00290,Bronze,CZ,33,1163,19,7,30635.56,62.1,0.45,0.0,1108.1207,Low
ACC-00291,Silver,CZ,46,1371,445,17,145494.96000000002,87.6,0.71,0.0,0.0,Low
ACC-00292,Silver,SK,33,1269,52,20,155765.01,97.0,0.85,3803.38,3712.9553,Low
ACC-00293,Bronze,CZ,21,862,494,3,8540.44,46.5,0.18,0.0,0.0,Low
ACC-00294,Silver,CZ,28,193,19,3,12780.93,47.1,0.53,10352.44,11686.937,Medium
ACC-00295,Bronze,CZ,39,325,17,6,26301.22,59.0,0.44,0.0,24373.21,Medium
ACC-00296,Bronze,CZ,26,332,24,2,6310.74,27.5,0.02,1093.78,514.8577,Low
ACC-00297,Silver,CZ,34,1271,380,9,55365.07,57.8,0.34,0.0,443.76852,Low
ACC-00298,Silver,CZ,36,1067,812,5,21611.31,36.3,0.08,0.0,92.585144,Low
ACC-00299,Silver,SK,38,433,38,4,23658.43,69.1,0.25,17841.07,22021.55,Medium
ACC-00300,Silver,CZ,39,82,999,0,0.0,30.8,0.05,14699.14,12560.626,Medium
ACC-00301,Silver,CZ,33,1057,8,13,58802.74,57.6,0.38,0.0,896.21014,Low
ACC-00302,Bronze,SK,18,380,108,3,4865.11,11.5,0.05,3018.05,2651.711,Low
ACC-00303,Gold,CZ,40,1114,2,8,20442.99,65.3,0.39,22086.07,21316.674,Medium
ACC-00304,Silver,CZ,39,722,27,8,46024.99,41.0,0.42,0.0,1151.5273,Low
ACC-00305,Bronze,CZ,44,1403,978,2,10253.3,11.6,0.28,0.0,0.0,Low
ACC-00306,Silver,CZ,25,778,15,17,158866.39,79.5,0.87,0.0,360.57874,Low
ACC-00307,Bronze,CZ,33,1311,906,2,6333.02,49.5,0.04,0.0,588.5996,Low
ACC-00308,Gold,SK,40,1018,598,8,57445.27,57.4,0.59,0.0,0.0,Low
ACC-00309,Silver,CZ,37,330,171,6,24909.77,43.8,0.41,34693.08,24317.094,Medium
ACC-00310,Silver,SK,65,1384,658,5,20659.8,36.9,0.06,0.0,924.52795,Low
ACC-00311,Silver,CZ,35,412,110,3,34061.46,47.0,0.26,19358.98,19376.115,Medium
ACC-00312,Silver,CZ,36,1192,575,8,31831.03,54.9,0.47,0.0,0.0,Low
ACC-00313,Bronze,CZ,48,775,439,3,24029.4,11.2,0.17,0.0,0.0,Low
ACC-00314,Silver,CZ,29,1314,522,10,39304.89,68.2,0.44,0.0,206.93442,Low
ACC-00315,Silver,CZ,33,1207,636,6,20256.72,59.7,0.24,0.0,2709.4944,Low
ACC-00316,Silver,SK,34,1267,315,23,161919.39,99.8,0.85,0.0,0.0,Low
ACC-00317,Silver,CZ,43,102,57,1,7128.98,14.4,0.09,8782.27,9106.767,Medium
ACC-00318,Bronze,CZ,32,1342,1050,1,2722.7,42.3,0.2,0.0,141.77287,Low
ACC-00319,Silver,CZ,18,1391,392,10,35290.38,51.3,0.55,0.0,0.0,Low
ACC-00320,Bronze,CZ,23,423,222,2,1855.69,25.8,0.11,0.0,85.09687,Low
ACC-00321,Bronze,CZ,27,724,252,8,136515.8,51.2,0.3,0.0,0.0,Low
ACC-00322,Silver,CZ,43,763,358,6,33319.81,60.0,0.44,0.0,3939.1118,Low
ACC-00323,Silver,CZ,41,1049,64,9,65755.78,68.5,0.42,2035.52,2432.377,Low
ACC-00324,Bronze,CZ,18,45,999,0,0.0,14.4,0.24,21285.76,17032.518,Medium
ACC-00325,Gold,CZ,49,1069,44,19,121411.44,84.3,0.6,45711.77,45397.137,High
ACC-00326,Gold,CZ,35,1335,877,7,55478.46,61.5,0.5,0.0,9.2729645,Low
ACC-00327,Silver,CZ,40,191,143,1,2021.03,45.9,0.13,14019.34,12454.805,Medium
ACC-00328,Silver,CZ,22,92,999,0,0.0,12.4,0.28,7778.55,14043.772,Medium
ACC-00329,Silver,CZ,31,1452,660,6,35042.65,54.6,0.24,0.0,2407.1895,Low
ACC-00330,Bronze,CZ,33,1002,394,11,47835.9,58.3,0.32,0.0,255.46814,Low
ACC-00331,Silver,CZ,29,295,4,15,102373.98,73.7,0.67,53117.96,53148.57,High
ACC-00332,Bronze,CZ,32,1177,517,5,8237.02,31.0,0.05,0.0,0.0,Low
ACC-00333,Bronze,CZ,19,193,97,2,6297.67,20.3,0.17,0.0,2148.8535,Low
ACC-00334,Bronze,CZ,22,639,72,4,32476.94,32.0,0.24,0.0,6721.366,Medium
ACC-00335,Gold,SK,28,308,142,2,5472.79,35.5,0.0,5084.78,5106.711,Medium
ACC-00336,Gold,CZ,38,540,5,9,78739.44,88.3,0.58,59529.26,59850.934,High
ACC-00337,Bronze,CZ,40,345,342,1,4073.12,19.5,0.11,0.0,216.5464,Low
ACC-00338,Bronze,SK,28,219,207,1,1848.33,26.9,0.25,4737.48,4151.06,Low
ACC-00339,Gold,CZ,26,257,51,3,21072.96,28.1,0.19,10526.08,10188.501,Medium
ACC-00340,Bronze,CZ,43,55,19,1,3474.89,44.5,0.22,4483.56,4668.856,Low
ACC-00341,Silver,SK,22,550,28,7,54030.03,46.9,0.32,7277.03,7258.6577,Medium
ACC-00342,Silver,CZ,29,1455,299,19,114006.67,71.8,0.75,0.0,1.6488845,Low
ACC-00343,Bronze,CZ,45,93,27,1,23132.48,37.0,0.18,0.0,11562.112,Medium
ACC-00344,Bronze,CZ,18,462,168,2,1380.4,10.6,0.22,0.0,457.58163,Low
ACC-00345,Bronze,CZ,41,1318,117,10,35183.0,57.4,0.49,1177.07,5003.4844,Medium
ACC-00346,Silver,CZ,33,1111,1,20,129207.84,87.9,0.76,48685.07,48118.734,High
ACC-00347,Bronze,CZ,25,824,130,3,8103.12,34.7,0.1,3455.37,3096.027,Low
ACC-00348,Gold,CZ,19,50,3,1,21315.37,12.8,0.2,15386.94,15403.36,Medium
ACC-00349,Silver,CZ,34,28,8,2,6423.62,56.0,0.46,45427.91,44605.09,High
ACC-00350,Bronze,SK,18,1355,42,11,77717.42,51.4,0.22,13954.86,12949.914,Medium
ACC-00351,Bronze,SK,35,530,377,4,9776.419999999998,12.4,0.14,0.0,426.04236,Low
ACC-00352,Bronze,CZ,37,1081,618,11,64500.100000000006,60.7,0.27,0.0,82.358246,Low
ACC-00353,Silver,CZ,37,732,427,6,20135.42,49.0,0.2,0.0,393.28033,Low
ACC-00354,Silver,SK,18,673,54,11,38828.91,69.8,0.26,14522.14,14078.935,Medium
ACC-00355,Bronze,CZ,37,1262,900,6,27097.7,42.7,0.45,0.0,491.50504,Low
ACC-00356,Bronze,CZ,22,1002,230,6,16805.22,41.1,0.48,0.0,2493.172,Low
ACC-00357,Bronze,CZ,46,1279,882,5,20119.28,13.5,0.11,0.0,0.0,Low
ACC-00358,Silver,CZ,18,113,31,3,31208.49,48.4,0.53,14038.87,15183.503,Medium
ACC-00359,Gold,CZ,32,717,155,5,23482.22,54.9,0.57,3940.24,11630.309,Medium
ACC-00360,Bronze,CZ,30,857,264,6,11126.06,51.9,0.4,0.0,215.12285,Low
ACC-00361,Silver,CZ,29,1228,318,11,51066.93,64.2,0.55,0.0,48.30943,Low
ACC-00362,Bronze,CZ,28,583,496,2,10366.85,16.9,0.12,0.0,224.98872,Low
ACC-00363,Silver,CZ,46,1051,420,6,44491.73,59.2,0.59,0.0,676.72705,Low
ACC-00364,Silver,SK,27,534,6,8,39340.87,74.2,0.74,82946.40000000001,82919.66,High
ACC-00365,Bronze,CZ,24,1078,1007,1,3575.24,25.9,0.15,0.0,0.0,Low
ACC-00366,Gold,CZ,30,300,5,7,58322.68,85.2,0.69,33334.590000000004,34570.242,High
ACC-00367,Silver,CZ,30,1152,205,4,5688.34,14.9,0.23,0.0,279.7419,Low
ACC-00368,Gold,CZ,38,1343,109,11,37967.73,65.5,0.31,0.0,10119.662,Medium
ACC-00369,Bronze,CZ,35,1123,388,9,34835.27,56.9,0.35,0.0,73.316025,Low
ACC-00370,Gold,CZ,23,771,114,14,80133.36,71.7,0.9,72976.47,72307.266,High
ACC-00371,Gold,CZ,46,1283,463,22,242312.36,73.6,0.56,0.0,160.14836,Low
ACC-00372,Silver,CZ,46,647,98,5,37413.38,12.5,0.21,0.0,6931.3374,Medium
ACC-00373,Silver,CZ,39,1417,714,7,117579.72,58.5,0.53,0.0,124.3704,Low
ACC-00374,Bronze,SK,32,848,160,4,9551.72,27.0,0.16,16655.91,15749.95,Medium
ACC-00375,Gold,CZ,45,1344,294,8,23195.47,52.4,0.35,0.0,1095.3651,Low
ACC-00376,Silver,CZ,34,645,14,8,45873.8,52.6,0.25,0.0,280.18433,Low
ACC-00377,Bronze,SK,38,692,512,3,20213.87,34.8,0.06,0.0,381.2912,Low
ACC-00378,Bronze,CZ,43,948,46,9,31012.08,46.0,0.45,25699.62,6454.325,Medium
ACC-00379,Silver,CZ,27,1391,39,10,46717.44,56.4,0.24,13582.44,12655.848,Medium
ACC-00380,Bronze,CZ,20,360,137,4,26280.35,47.3,0.55,10563.02,10853.577,Medium
ACC-00381,Bronze,CZ,39,981,137,5,9400.35,44.4,0.18,0.0,2064.4343,Low
ACC-00382,Gold,CZ,38,1138,328,17,116724.64,73.1,0.55,0.0,888.47266,Low
ACC-00383,Gold,CZ,38,804,164,17,115882.58,77.6,0.68,0.0,6577.0537,Medium
ACC-00384,Bronze,CZ,42,378,16,6,19064.19,59.1,0.38,2961.34,3701.2031,Low
ACC-00385,Silver,CZ,35,1434,367,6,31178.88,66.7,0.29,0.0,218.43356,Low
ACC-00386,Gold,CZ,20,606,535,1,898.28,37.2,0.15,0.0,0.0,Low
ACC-00387,Silver,SK,53,591,244,2,11854.82,12.9,0.21,250.02,222.41696,Low
ACC-00388,Bronze,CZ,36,1326,11,6,45011.12,51.6,0.4,20768.74,19528.775,Medium
ACC-00389,Bronze,CZ,53,722,280,8,53634.3,63.5,0.58,17231.13,15639.38,Medium
ACC-00390,Bronze,CZ,46,1241,236,8,22195.47,64.9,0.42,0.0,280.7044,Low
ACC-00391,Bronze,CZ,44,1302,11,11,96531.88,58.7,0.51,8001.22,12652.128,Medium
ACC-00392,Bronze,CZ,35,946,155,4,14980.35,34.6,0.04,0.0,147.79468,Low
ACC-00393,Silver,CZ,33,861,72,7,23569.13,43.8,0.33,6473.49,5679.914,Medium
ACC-00394,Silver,CZ,32,1260,49,10,44780.89,62.4,0.43,18315.93,15625.543,Medium
ACC-00395,Silver,CZ,49,224,32,5,33023.71,97.8,0.64,143777.18,67776.836,High
ACC-00396,Bronze,CZ,27,22,1,1,332.88,53.2,0.37,35925.08,35911.09,High
ACC-00397,Bronze,CZ,33,1228,657,9,35980.15,43.6,0.3,0.0,0.0,Low
ACC-00398,Silver,CZ,23,230,144,1,17666.4,36.9,0.3,10414.43,10154.369,Medium
ACC-00399,Gold,CZ,18,932,306,3,6253.12,31.8,0.08,4433.13,2579.9958,Low
ACC-00400,Silver,CZ,38,168,160,1,4701.95,39.9,0.29,0.0,966.14435,Low
ACC-00401,Silver,CZ,36,576,132,6,34951.69,49.6,0.22,3065.43,4067.2473,Low
ACC-00402,Silver,SK,32,679,121,5,21157.25,44.0,0.27,16475.67,15459.699,Medium
ACC-00403,Bronze,CZ,36,1219,144,10,38738.21,65.2,0.4,0.0,579.27606,Low
ACC-00404,Silver,CZ,36,1391,731,7,21114.91,48.9,0.4,0.0,494.33844,Low
ACC-00405,Bronze,SK,31,1389,949,3,12531.47,35.5,0.26,0.0,0.0,Low
ACC-00406,Bronze,CZ,36,1271,480,7,94653.89,64.4,0.42,0.0,0.0,Low
ACC-00407,Bronze,CZ,34,1242,637,8,34944.13,45.8,0.31,0.0,433.12756,Low
ACC-00408,Silver,SK,30,1270,519,10,34402.55,64.5,0.5,0.0,13.6463375,Low
ACC-00409,Silver,SK,46,1310,352,12,53563.17,56.2,0.35,0.0,1084.6034,Low
ACC-00410,Gold,SK,38,1174,391,16,223121.24,95.0,0.84,0.0,13.066465,Low
ACC-00411,Gold,CZ,45,1035,744,6,39928.1,60.4,0.5,0.0,115.874695,Low
ACC-00412,Bronze,CZ,36,1312,667,5,15960.23,49.9,0.26,0.0,860.7715,Low
ACC-00413,Bronze,CZ,40,587,131,10,55527.11,46.5,0.51,0.0,586.4608,Low
ACC-00414,Gold,CZ,20,454,14,5,31711.97,17.1,0.0,0.0,9193.682,Medium
ACC-00415,Silver,SK,21,1287,414,10,124439.45,57.6,0.24,0.0,82.36214,Low
ACC-00416,Bronze,CZ,25,1338,364,11,67813.44,56.8,0.43,0.0,598.9541,Low
ACC-00417,Bronze,SK,42,210,26,3,5959.0,40.7,0.44,3839.09,6193.474,Medium
ACC-00418,Silver,CZ,37,574,205,8,57113.36,69.5,0.5,0.0,276.96155,Low
ACC-00419,Silver,SK,24,892,249,8,67492.18,44.4,0.38,0.0,99.73418,Low
ACC-00420,Gold,SK,44,675,6,14,105524.37,71.9,0.65,23058.45,23550.73,Medium
ACC-00421,Silver,CZ,32,496,310,3,7683.75,35.7,0.28,0.0,458.43906,Low
ACC-00422,Bronze,CZ,51,1388,70,23,287183.79,73.6,0.81,31756.33,31338.334,High
ACC-00423,Silver,CZ,54,524,403,2,2327.96,32.9,0.12,0.0,83.00323,Low
ACC-00424,Bronze,CZ,38,671,275,5,19835.64,61.0,0.27,12988.1,5781.24,Medium
ACC-00425,Gold,SK,60,193,18,3,28804.7,98.2,0.62,76799.91,76710.68,High
ACC-00426,Silver,CZ,38,676,238,5,14889.9,53.9,0.35,41647.49,4393.758,Low
ACC-00427,Bronze,CZ,41,163,134,1,4419.28,38.2,0.28,5234.59,5598.765,Medium
ACC-00428,Silver,CZ,37,1451,897,5,23540.77,46.4,0.27,0.0,256.20227,Low
ACC-00429,Bronze,CZ,19,1304,983,3,11645.25,34.4,0.05,0.0,80.13716,Low
ACC-00430,Bronze,CZ,38,973,557,5,11665.94,48.3,0.2,0.0,629.22046,Low
ACC-00431,Bronze,CZ,31,268,40,4,25938.17,67.2,0.3,1771.52,25119.76,High
ACC-00432,Silver,CZ,37,1082,892,3,12616.2,43.8,0.13,0.0,8.65243,Low
ACC-00433,Bronze,CZ,29,502,40,4,9780.29,41.4,0.54,4450.4,4817.2837,Low
ACC-00434,Bronze,CZ,33,818,196,5,12960.49,26.4,0.16,0.0,1935.3016,Low
ACC-00435,Silver,CZ,38,682,100,7,30298.64,56.8,0.59,13751.39,12582.205,Medium
ACC-00436,Bronze,CZ,64,825,732,1,5247.62,35.0,0.24,0.0,329.94354,Low
ACC-00437,Bronze,SK,33,765,99,9,35398.72,61.8,0.26,0.0,1097.8932,Low
ACC-00438,Silver,CZ,34,1199,688,13,89747.94,68.4,0.32,0.0,40.012928,Low
ACC-00439,Bronze,CZ,21,1410,187,6,30324.06,46.8,0.26,7162.710000000001,3493.0322,Low
ACC-00440,Silver,CZ,39,1026,287,6,24633.44,43.4,0.41,65120.71000000001,939.16516,Low
ACC-00441,Silver,CZ,23,1252,995,5,26134.49,38.3,0.02,0.0,32.832508,Low
ACC-00442,Bronze,SK,18,996,116,6,28471.59,54.5,0.38,0.0,312.85828,Low
ACC-00443,Bronze,CZ,36,808,366,3,7540.75,42.9,0.29,2739.29,2436.732,Low
ACC-00444,Bronze,CZ,32,1347,46,9,47395.83,55.4,0.22,0.0,1251.2845,Low
ACC-00445,Silver,CZ,55,863,63,12,71084.41,63.6,0.22,0.0,0.0,Low
ACC-00446,Bronze,SK,48,1346,712,5,11157.51,40.2,0.23,0.0,0.0,Low
ACC-00447,Bronze,CZ,55,1159,679,11,36354.69,66.1,0.55,0.0,0.0,Low
ACC-00448,Bronze,SK,46,1433,719,7,49979.02,42.0,0.21,0.0,115.335,Low
ACC-00449,Bronze,SK,50,171,105,3,12030.13,41.9,0.12,28604.730000000003,27863.756,High
ACC-00450,Bronze,CZ,45,978,647,2,9334.87,13.7,0.12,6085.45,3166.177,Low
ACC-00451,Silver,CZ,35,1206,283,6,31329.26,48.6,0.41,0.0,285.67154,Low
ACC-00452,Silver,CZ,36,895,597,6,14873.1,63.9,0.45,0.0,56.891895,Low
ACC-00453,Bronze,CZ,39,614,54,18,159359.52,79.5,0.82,0.0,883.50867,Low
ACC-00454,Gold,SK,52,865,49,26,177939.96000000002,99.5,0.61,0.0,506.929,Low
ACC-00455,Bronze,CZ,35,572,37,3,22259.4,45.8,0.06,0.0,243.56587,Low
ACC-00456,Silver,CZ,32,86,2,4,17923.690000000002,69.0,0.52,22477.4,22197.766,Medium
ACC-00457,Gold,SK,39,364,39,10,84712.96,79.6,0.8,91417.47,91379.67,High
ACC-00458,Gold,SK,46,444,12,13,101265.3,91.8,0.55,28913.42,29264.18,High
ACC-00459,Bronze,CZ,30,193,23,3,8680.11,55.8,0.42,10634.08,11468.875,Medium
ACC-00460,Silver,CZ,29,1373,643,5,16594.58,39.3,0.02,0.0,0.0,Low
ACC-00461,Bronze,SK,47,204,130,1,822.88,31.6,0.25,2490.24,3042.901,Low
ACC-00462,Silver,SK,37,685,68,19,251520.01,94.6,0.69,68970.44,22363.361,Medium
ACC-00463,Gold,CZ,33,1180,312,4,6806.88,66.4,0.53,56064.04,3858.076,Low
ACC-00464,Bronze,SK,44,1454,717,9,73658.51,44.3,0.3,0.0,45.161465,Low
ACC-00465,Gold,SK,36,866,77,10,78354.79,58.6,0.46,5458.48,4715.5435,Low
ACC-00466,Bronze,CZ,27,926,485,4,11247.45,20.2,0.25,0.0,0.0,Low
ACC-00467,Bronze,CZ,31,276,51,3,4645.77,37.5,0.1,0.0,313.98975,Low
ACC-00468,Silver,CZ,52,531,83,3,17061.989999999998,46.8,0.54,10012.61,9852.441,Medium
ACC-00469,Bronze,SK,26,520,511,2,3520.92,24.4,0.06,0.0,0.29783922,Low
ACC-00470,Silver,CZ,32,1145,689,7,24234.53,67.1,0.5,0.0,0.0,Low
ACC-00471,Gold,SK,27,1,999,0,0.0,46.0,0.02,15414.7,15539.0625,Medium
ACC-00472,Bronze,CZ,31,1220,615,7,57457.24,53.8,0.38,0.0,1929.8856,Low
ACC-00473,Silver,CZ,49,303,87,2,4407.71,64.1,0.37,20481.620000000003,20922.963,Medium
ACC-00474,Silver,CZ,37,788,61,19,225578.2,70.8,0.67,75347.41,74302.9,High
ACC-00475,Silver,CZ,28,1420,581,7,32139.67,69.2,0.48,0.0,0.0,Low
ACC-00476,Bronze,CZ,18,1210,221,7,30468.63,69.5,0.54,0.0,142.60733,Low
ACC-00477,Silver,SK,18,893,73,11,52485.95,43.4,0.55,0.0,258.12408,Low
ACC-00478,Gold,CZ,29,290,38,8,41567.65,71.4,0.61,66168.2,67371.27,High
ACC-00479,Silver,CZ,18,320,82,3,21846.16,48.9,0.44,12920.79,20917.176,Medium
ACC-00480,Bronze,CZ,31,790,707,1,1283.7,46.1,0.01,0.0,0.0,Low
ACC-00481,Bronze,CZ,37,866,151,10,55170.71,58.8,0.6,0.0,132.66899,Low
ACC-00482,Bronze,CZ,22,1411,398,6,104405.37,57.5,0.21,0.0,1140.8303,Low
ACC-00483,Gold,CZ,36,59,999,0,0.0,43.3,0.02,11322.69,11685.804,Medium
ACC-00484,Silver,CZ,30,163,99,1,37648.82,46.4,0.03,6114.75,6179.9023,Medium
ACC-00485,Gold,CZ,43,150,25,3,8094.059999999999,57.2,0.55,22961.21,23014.916,Medium
ACC-00486,Gold,CZ,49,906,265,13,177710.56,53.9,0.56,0.0,126.08859,Low
ACC-00487,Bronze,CZ,35,662,44,6,18628.03,58.2,0.38,0.0,1271.3899,Low
ACC-00488,Bronze,CZ,39,521,206,5,28893.1,19.5,0.21,0.0,0.0,Low
ACC-00489,Bronze,CZ,66,734,622,2,8808.58,29.5,0.12,0.0,159.66132,Low
ACC-00490,Gold,CZ,51,1279,283,19,68782.34,92.3,0.74,0.0,0.0,Low
ACC-00491,Silver,CZ,59,966,546,6,19678.53,47.6,0.23,0.0,2300.591,Low
ACC-00492,Bronze,CZ,40,563,127,6,35508.31,54.1,0.3,18492.73,18358.943,Medium
ACC-00493,Bronze,CZ,18,452,356,2,8351.04,28.8,0.19,1086.99,1875.8993,Low
ACC-00494,Silver,CZ,23,1146,98,6,33898.17,40.2,0.41,0.0,1189.8456,Low
ACC-00495,Bronze,CZ,18,944,920,2,8571.3,21.4,0.25,0.0,0.0,Low
ACC-00496,Bronze,CZ,19,312,278,1,1347.33,25.9,0.07,5348.57,3756.5603,Low
ACC-00497,Gold,CZ,41,318,45,5,29870.300000000003,64.5,0.31,40531.67,40380.812,High
ACC-00498,Silver,CZ,28,9,999,0,0.0,11.2,0.17,25681.23,15552.325,Medium
ACC-00499,Silver,SK,47,806,478,7,27426.85,48.2,0.25,0.0,101.3756,Low
ACC-00500,Silver,CZ,30,107,999,0,0.0,46.3,0.12,0.0,961.8983,Low
ACC-00501,Silver,CZ,44,833,9,6,33842.1,68.6,0.49,0.0,482.36264,Low
ACC-00502,Gold,CZ,35,1081,493,11,46735.58,47.7,0.22,0.0,55.60217,Low
ACC-00503,Silver,CZ,34,999,7,28,280655.77,90.0,0.6,0.0,458.7465,Low
ACC-00504,Gold,CZ,43,174,102,1,3402.9,52.6,0.25,25254.4,26151.28,High
ACC-00505,Silver,CZ,18,133,77,1,6734.25,24.2,0.02,27627.74,27412.682,High
ACC-00506,Bronze,SK,29,374,75,4,64804.34,57.8,0.34,3963.46,4757.691,Low
ACC-00507,Bronze,CZ,24,1189,990,2,8803.0,34.5,0.27,0.0,0.0,Low
ACC-00508,Gold,SK,34,213,2,5,13369.66,67.1,0.25,54725.54,54361.633,High
ACC-00509,Bronze,SK,18,166,149,1,712.13,37.8,0.25,37351.92,33241.816,High
ACC-00510,Bronze,SK,35,178,69,1,4066.07,26.0,0.03,11755.85,11050.141,Medium
ACC-00511,Silver,CZ,43,122,55,1,19610.88,28.7,0.06,0.0,1046.4014,Low
ACC-00512,Bronze,SK,44,323,197,2,21568.63,27.2,0.21,8731.369999999999,8241.596,Medium
ACC-00513,Silver,CZ,31,87,9,6,40049.37,63.7,0.32,9659.73,10026.479,Medium
ACC-00514,Gold,SK,18,252,46,5,39350.28,57.4,0.38,48205.01,31980.455,High
ACC-00515,Silver,CZ,30,646,40,7,39702.42,40.4,0.56,29293.21,28270.37,High
ACC-00516,Bronze,CZ,25,1421,1047,1,870.14,31.0,0.12,0.0,0.0,Low
ACC-00517,Bronze,CZ,36,438,64,6,17089.33,66.7,0.26,19547.81,17931.504,Medium
ACC-00518,Bronze,CZ,29,1158,255,3,10279.13,35.8,0.01,0.0,0.0,Low
ACC-00519,Silver,CZ,34,1031,42,25,202561.34,82.3,0.53,20734.76,20113.21,Medium
ACC-00520,Bronze,SK,49,417,193,3,6620.1900000000005,65.3,0.41,26007.19,15290.724,Medium
ACC-00521,Bronze,CZ,33,1063,103,9,44936.32,69.2,0.27,0.0,930.325,Low
ACC-00522,Silver,CZ,18,688,285,4,8827.51,11.6,0.12,0.0,0.0,Low
ACC-00523,Silver,CZ,50,556,63,5,25712.88,62.7,0.21,7206.58,6803.5166,Medium
ACC-00524,Gold,CZ,41,631,50,14,133515.56,81.1,0.83,21990.42,39734.203,High
ACC-00525,Bronze,SK,31,1450,52,12,68509.47,64.8,0.44,0.0,494.9075,Low
ACC-00526,Silver,CZ,21,1443,397,10,38670.85,50.2,0.35,0.0,99.261055,Low
ACC-00527,Silver,CZ,44,1116,193,2,6324.93,31.7,0.17,2607.16,2422.5881,Low
ACC-00528,Bronze,CZ,28,357,162,6,51998.92,64.8,0.34,64014.59,62575.656,High
ACC-00529,Silver,CZ,29,1244,415,11,36819.78,60.3,0.4,0.0,0.0,Low
ACC-00530,Silver,CZ,20,533,126,4,27248.38,16.6,0.16,0.0,397.01584,Low
ACC-00531,Bronze,CZ,48,993,21,5,5605.56,42.7,0.05,0.0,285.67496,Low
ACC-00532,Bronze,SK,19,183,56,2,5232.82,22.0,0.22,5781.88,5888.0464,Medium
ACC-00533,Bronze,CZ,36,1036,1022,1,1954.1,25.8,0.06,0.0,0.0,Low
ACC-00534,Silver,CZ,39,697,352,10,52756.24,46.8,0.42,0.0,7903.662,Medium
ACC-00535,Silver,SK,28,650,10,17,135939.27,83.8,0.64,0.0,24400.33,Medium
ACC-00536,Gold,CZ,32,383,19,8,25327.02,41.7,0.42,31740.0,30997.51,High
ACC-00537,Gold,SK,19,138,65,3,15193.7,68.5,0.59,8180.49,8906.908,Medium
ACC-00538,Gold,CZ,33,266,11,5,26238.800000000003,51.3,0.44,8558.150000000001,10434.017,Medium
ACC-00539,Gold,CZ,32,140,26,2,8500.79,67.6,0.44,19790.92,19473.496,Medium
ACC-00540,Silver,CZ,49,31,999,0,0.0,28.2,0.27,8266.59,8250.773,Medium
ACC-00541,Silver,CZ,49,1258,765,7,39057.83,46.0,0.58,0.0,436.48837,Low
ACC-00542,Bronze,SK,51,1021,818,2,18551.44,43.9,0.13,0.0,0.0,Low
ACC-00543,Bronze,SK,37,204,132,2,5524.73,30.4,0.13,85293.70999999999,4494.5825,Low
ACC-00544,Silver,SK,41,962,144,5,13327.43,67.9,0.51,0.0,430.16605,Low
ACC-00545,Bronze,CZ,20,42,999,0,0.0,22.0,0.04,1701.5800000000002,3779.1924,Low
ACC-00546,Silver,CZ,47,824,184,14,115264.93,68.7,0.28,0.0,55.17725,Low
ACC-00547,Silver,CZ,25,1316,257,10,58978.33,42.7,0.6,0.0,0.0,Low
ACC-00548,Silver,CZ,18,362,212,3,15355.44,12.8,0.19,0.0,343.53412,Low
ACC-00549,Gold,SK,37,64,999,0,0.0,64.3,0.53,140518.65,41171.93,High
ACC-00550,Bronze,CZ,25,227,107,1,660.9,52.0,0.24,42843.5,14984.761,Medium
ACC-00551,Gold,CZ,43,1316,211,9,45060.11,56.5,0.32,45949.78,43480.332,High
ACC-00552,Gold,CZ,36,109,7,4,25018.69,55.7,0.58,133084.02000000002,131326.56,High
ACC-00553,Bronze,CZ,38,1451,1038,1,1834.48,19.7,0.25,0.0,0.0,Low
ACC-00554,Silver,SK,58,1166,770,7,25473.0,60.0,0.48,0.0,0.0,Low
ACC-00555,Bronze,SK,43,279,22,5,35397.34,47.2,0.24,0.0,526.2307,Low
ACC-00556,Bronze,CZ,23,180,170,1,7644.94,29.1,0.1,10064.3,9170.317,Medium
ACC-00557,Silver,CZ,35,1200,564,8,26694.25,50.7,0.44,0.0,0.0,Low
ACC-00558,Silver,CZ,34,1387,1042,1,1296.62,30.1,0.27,0.0,0.0,Low
ACC-00559,Bronze,CZ,36,1435,1062,1,1892.27,12.9,0.19,0.0,0.0,Low
ACC-00560,Bronze,CZ,26,327,132,3,10310.63,64.1,0.53,21038.92,19792.598,Medium
ACC-00561,Gold,CZ,45,1144,346,22,153760.09,74.8,0.66,0.0,4133.8604,Low
